standard,flange_type,pressure_class,nps,D,T,R,Y,C,holes,hole_dia
ASME_B16.5,WN,150,1/2,88.90,11.18,35.05,47.75,60.45,4,16.00
ASME_B16.5,WN,150,3/4,98.43,12.70,42.93,52.32,69.85,4,16.00
ASME_B16.5,WN,150,1,107.95,14.22,50.80,55.63,79.38,4,16.00
ASME_B16.5,WN,150,1.5,127.00,17.53,73.15,61.98,98.43,4,19.05
ASME_B16.5,WN,150,2,152.40,19.05,92.20,63.50,120.65,4,19.05
ASME_B16.5,WN,150,3,190.50,23.88,127.00,69.85,152.40,4,19.05
ASME_B16.5,WN,150,4,228.60,23.88,157.23,76.20,190.50,8,19.05
ASME_B16.5,WN,150,6,279.40,25.40,215.90,88.90,241.30,8,22.23
ASME_B16.5,WN,150,8,342.90,28.58,269.88,101.60,298.45,8,22.23
ASME_B16.5,WN,150,10,406.40,30.23,323.85,101.60,361.95,12,25.40
ASME_B16.5,WN,150,12,482.60,31.75,381.00,114.30,431.80,12,25.40
ASME_B16.5,WN,150,14,533.40,34.93,412.75,127.00,476.25,12,28.58
ASME_B16.5,WN,150,16,596.90,36.58,469.90,127.00,539.75,16,28.58
ASME_B16.5,WN,150,18,635.00,39.62,533.40,139.70,577.85,16,31.75
ASME_B16.5,WN,150,20,698.50,42.93,584.20,144.53,635.00,20,31.75
ASME_B16.5,WN,150,24,812.80,47.75,692.15,152.40,749.30,20,34.93
ASME_B16.5,WN,300,1/2,95.25,14.27,35.05,47.75,66.68,4,16.00
ASME_B16.5,WN,300,1,121.00,15.88,50.80,55.63,82.55,4,19.05
ASME_B16.5,WN,300,2,168.28,20.62,92.20,63.50,120.65,8,19.05
ASME_B16.5,WN,300,4,241.30,25.40,157.23,76.20,190.50,8,22.23
ASME_B16.5,WN,300,8,381.00,34.93,269.88,101.60,298.45,8,25.40
ASME_B16.5,WN,300,12,546.10,41.15,381.00,114.30,431.80,12,31.75
ASME_B16.5,WN,300,20,787.40,57.15,584.20,144.53,635.00,20,34.93
ASME_B16.5,WN,600,1/2,95.25,20.62,35.05,47.75,66.68,4,16.00
ASME_B16.5,WN,600,2,168.28,25.40,92.20,63.50,120.65,8,19.05
ASME_B16.5,WN,600,4,241.30,31.75,157.23,76.20,190.50,8,22.23
ASME_B16.5,WN,600,6,298.45,34.93,215.90,88.90,241.30,8,25.40
ASME_B16.5,WN,600,10,431.80,46.05,323.85,101.60,361.95,12,28.58
ASME_B16.5,WN,600,16,596.90,60.33,469.90,127.00,539.75,16,34.93


























































